run_id,config,concurrency,prompt_len,gen_len,ttft_ms,itl_p50_ms,itl_p95_ms,e2e_ms,toks_per_s,ok,err,turn,conv
,turn0,1,2023,64,2160.2,33.03,93.58,4291.6,14.91,True,,0,0
,turn1,1,2040,64,1791.7,31.35,101.88,3911.8,16.36,True,,1,0
,turn2,1,2056,64,1941.9,31.97,107.34,3853.0,16.61,True,,2,0
,turn3,1,2071,64,1620.9,33.33,87.76,3745.7,17.09,True,,3,0
,turn0,1,2023,64,1085.0,32.9,94.48,4250.7,15.06,True,,0,1
,turn1,1,2040,64,709.0,32.28,116.56,3870.4,16.54,True,,1,1
,turn2,1,2056,64,693.1,30.36,111.69,3787.9,16.9,True,,2,1
,turn3,1,2071,64,705.2,33.45,103.48,3821.0,16.75,True,,3,1
,turn0,1,2023,64,2155.3,32.37,92.79,4289.0,14.92,True,,0,2
,turn1,1,2040,64,1785.6,31.76,105.51,3912.9,16.36,True,,1,2
,turn2,1,2056,64,1949.0,31.86,101.47,3853.3,16.61,True,,2,2
,turn3,1,2071,64,1618.7,32.98,91.44,3745.7,17.09,True,,3,2
,turn0,1,2023,64,2145.5,33.02,89.65,4259.8,15.02,True,,0,3
,turn1,1,2040,64,1807.5,31.0,112.65,3920.1,16.33,True,,1,3
,turn2,1,2056,64,1970.5,30.98,100.86,3874.7,16.52,True,,2,3
,turn3,1,2071,64,1608.9,33.33,83.53,3725.2,17.18,True,,3,3
,turn0,1,2023,64,1849.8,33.21,84.86,3967.1,16.13,True,,0,4
,turn1,1,2040,64,1848.9,32.93,102.68,3911.9,16.36,True,,1,4
,turn2,1,2056,64,1600.0,33.78,95.53,3715.4,17.23,True,,2,4
,turn3,1,2071,64,1719.7,33.23,87.19,3835.5,16.69,True,,3,4
,turn0,1,2023,64,740.9,33.07,99.48,3898.9,16.41,True,,0,5
,turn1,1,2040,64,677.4,32.96,112.07,3842.1,16.66,True,,1,5
,turn2,1,2056,64,690.6,33.08,104.36,3812.9,16.78,True,,2,5
,turn3,1,2071,64,717.6,33.88,93.19,3808.6,16.8,True,,3,5
,turn0,1,2023,64,1861.7,33.21,86.56,3976.6,16.09,True,,0,6
,turn1,1,2040,64,1838.6,33.11,91.72,3901.9,16.4,True,,1,6
,turn2,1,2056,64,1608.9,33.13,97.95,3728.9,17.16,True,,2,6
,turn3,1,2071,64,1715.0,33.53,87.52,3834.1,16.69,True,,3,6
,turn0,1,2023,64,1864.6,32.94,84.2,3980.5,16.08,True,,0,7
,turn1,1,2040,64,1834.7,33.4,99.03,3898.1,16.42,True,,1,7
,turn2,1,2056,64,1612.8,33.01,93.72,3753.3,17.05,True,,2,7
,turn3,1,2071,64,1694.4,33.38,91.82,3811.9,16.79,True,,3,7
