run_id,config,concurrency,prompt_len,gen_len,ttft_ms,itl_p50_ms,itl_p95_ms,e2e_ms,toks_per_s,ok,err,turn,conv
,turn0,1,2023,64,1105.9,31.22,60.39,3187.9,20.08,True,,0,0
,turn1,1,2040,64,509.1,33.7,58.81,2628.2,24.35,True,,1,0
,turn2,1,2056,64,484.8,33.97,60.73,2621.1,24.42,True,,2,0
,turn3,1,2071,64,474.5,32.96,53.0,2542.8,25.17,True,,3,0
,turn0,1,2023,64,1077.8,30.58,67.74,3172.0,20.18,True,,0,1
,turn1,1,2040,64,398.7,33.7,47.93,2521.4,25.38,True,,1,1
,turn2,1,2056,64,417.9,33.41,68.94,2527.5,25.32,True,,2,1
,turn3,1,2071,64,401.3,32.83,49.56,2523.1,25.37,True,,3,1
,turn0,1,2023,64,1018.0,29.07,66.5,3101.3,20.64,True,,0,2
,turn1,1,2040,64,461.8,32.27,50.57,2481.7,25.79,True,,1,2
,turn2,1,2056,64,390.5,33.37,78.79,2503.9,25.56,True,,2,2
,turn3,1,2071,64,371.1,33.14,62.04,2478.4,25.82,True,,3,2
,turn0,1,2023,64,1079.0,32.72,60.78,3183.4,20.1,True,,0,3
,turn1,1,2040,64,495.8,32.97,60.0,2587.2,24.74,True,,1,3
,turn2,1,2056,64,489.6,33.59,51.96,2597.5,24.64,True,,2,3
,turn3,1,2071,64,468.5,33.09,62.16,2581.0,24.8,True,,3,3
,turn0,1,2023,64,388.6,32.9,61.01,2496.9,25.63,True,,0,4
,turn1,1,2040,64,355.2,34.14,51.98,2503.8,25.56,True,,1,4
,turn2,1,2056,64,385.7,33.3,61.21,2505.9,25.54,True,,2,4
,turn3,1,2071,64,407.8,33.1,61.76,2519.7,25.4,True,,3,4
,turn0,1,2023,64,485.0,33.43,59.33,2598.0,24.63,True,,0,5
,turn1,1,2040,64,419.0,33.58,59.26,2553.7,25.06,True,,1,5
,turn2,1,2056,64,435.5,34.1,58.81,2555.9,25.04,True,,2,5
,turn3,1,2071,64,441.7,32.57,65.29,3505.3,18.26,True,,3,5
,turn0,1,2023,64,546.8,30.83,50.67,2706.5,23.65,True,,0,6
,turn1,1,2040,64,427.6,33.58,56.31,2532.1,25.28,True,,1,6
,turn2,1,2056,64,469.0,33.71,50.63,2567.5,24.93,True,,2,6
,turn3,1,2071,64,459.8,32.16,69.64,3743.7,17.1,True,,3,6
,turn0,1,2023,64,585.8,32.4,50.65,2676.6,23.91,True,,0,7
,turn1,1,2040,64,459.1,33.39,54.97,2562.4,24.98,True,,1,7
,turn2,1,2056,64,508.6,34.71,52.03,2598.7,24.63,True,,2,7
,turn3,1,2071,64,473.2,32.16,67.92,3374.6,18.97,True,,3,7
