run_id,config,concurrency,prompt_len,gen_len,ttft_ms,itl_p50_ms,itl_p95_ms,e2e_ms,toks_per_s,ok,err
20260920T132711Z,on-8192-c12:base:decode,12,512,256,1531.0,34.35,47.91,10179.5,25.15,True,
20260920T132711Z,on-8192-c12:base:decode,12,512,256,1478.9,34.29,47.8,10125.5,25.28,True,
20260920T132711Z,on-8192-c12:base:decode,12,512,256,1429.1,34.3,47.44,10116.1,25.31,True,
20260920T132711Z,on-8192-c12:base:decode,12,512,256,1379.1,34.61,46.53,10065.9,25.43,True,
20260920T132711Z,on-8192-c12:base:decode,12,512,256,1329.0,34.19,46.79,10014.6,25.56,True,
20260920T132711Z,on-8192-c12:base:decode,12,512,256,1279.0,34.53,45.75,9964.7,25.69,True,
20260920T132711Z,on-8192-c12:base:decode,12,512,256,1229.0,34.32,47.97,9916.0,25.82,True,
20260920T132711Z,on-8192-c12:base:decode,12,512,256,1179.0,34.29,46.63,9864.7,25.95,True,
20260920T132711Z,on-8192-c12:base:decode,12,512,256,1129.0,34.46,46.16,9813.3,26.09,True,
20260920T132711Z,on-8192-c12:base:decode,12,512,256,1079.0,34.33,48.66,9764.9,26.22,True,
20260920T132711Z,on-8192-c12:base:decode,12,512,256,1030.7,34.2,45.19,9699.6,26.39,True,
20260920T132711Z,on-8192-c12:base:decode,12,512,256,978.9,34.4,46.83,9663.1,26.49,True,
20260920T132711Z,on-8192-c12:mixed:decode,13,512,256,684.1,34.93,46.46,9465.7,27.04,True,
20260920T132711Z,on-8192-c12:mixed:decode,13,512,256,791.3,34.75,46.84,9562.3,26.77,True,
20260920T132711Z,on-8192-c12:mixed:decode,13,512,256,795.5,34.71,48.72,9566.1,26.76,True,
20260920T132711Z,on-8192-c12:mixed:decode,13,512,256,721.2,34.64,46.9,9502.8,26.94,True,
20260920T132711Z,on-8192-c12:mixed:decode,13,512,256,718.3,34.8,47.46,9498.3,26.95,True,
20260920T132711Z,on-8192-c12:mixed:decode,13,512,256,663.3,34.91,43.4,9445.3,27.1,True,
20260920T132711Z,on-8192-c12:mixed:decode,13,512,256,755.6,34.77,47.27,9531.5,26.86,True,
20260920T132711Z,on-8192-c12:mixed:decode,13,512,256,758.0,34.85,46.94,9532.8,26.85,True,
20260920T132711Z,on-8192-c12:mixed:decode,13,512,256,755.0,34.62,48.18,9532.0,26.86,True,
20260920T132711Z,on-8192-c12:mixed:decode,13,512,256,750.6,34.78,44.81,9529.6,26.86,True,
20260920T132711Z,on-8192-c12:mixed:decode,13,512,256,758.2,34.53,46.79,9537.0,26.84,True,
20260920T132711Z,on-8192-c12:mixed:decode,13,512,256,794.0,34.68,48.08,9564.9,26.76,True,
20260920T132711Z,on-8192-c12:mixed:hog,13,8192,64,2493.9,35.34,42.58,4706.1,13.6,True,
20260920T132711Z,on-8192-c12:base:decode,12,512,256,748.0,34.15,50.06,9452.3,27.08,True,
20260920T132711Z,on-8192-c12:base:decode,12,512,256,896.4,34.33,51.3,9541.6,26.83,True,
20260920T132711Z,on-8192-c12:base:decode,12,512,256,846.3,34.38,51.59,9490.2,26.98,True,
20260920T132711Z,on-8192-c12:base:decode,12,512,256,799.2,34.36,50.59,9508.2,26.92,True,
20260920T132711Z,on-8192-c12:base:decode,12,512,256,749.0,34.75,49.84,9400.3,27.23,True,
20260920T132711Z,on-8192-c12:base:decode,12,512,256,708.5,34.29,50.41,9423.4,27.17,True,
20260920T132711Z,on-8192-c12:base:decode,12,512,256,771.6,34.37,48.87,9433.0,27.14,True,
20260920T132711Z,on-8192-c12:base:decode,12,512,256,728.8,34.49,48.56,9442.2,27.11,True,
20260920T132711Z,on-8192-c12:base:decode,12,512,256,725.8,34.56,48.38,9438.5,27.12,True,
20260920T132711Z,on-8192-c12:base:decode,12,512,256,786.6,34.22,48.62,9474.3,27.02,True,
20260920T132711Z,on-8192-c12:base:decode,12,512,256,768.6,34.21,48.7,9457.1,27.07,True,
20260920T132711Z,on-8192-c12:base:decode,12,512,256,735.4,34.2,49.61,9437.5,27.13,True,
20260920T132711Z,on-8192-c12:mixed:decode,13,512,256,702.2,34.45,48.69,9441.8,27.11,True,
20260920T132711Z,on-8192-c12:mixed:decode,13,512,256,739.6,34.39,48.51,9474.7,27.02,True,
20260920T132711Z,on-8192-c12:mixed:decode,13,512,256,702.2,34.59,48.23,9442.6,27.11,True,
20260920T132711Z,on-8192-c12:mixed:decode,13,512,256,809.3,34.41,46.86,9506.3,26.93,True,
20260920T132711Z,on-8192-c12:mixed:decode,13,512,256,743.0,34.45,47.43,9477.0,27.01,True,
20260920T132711Z,on-8192-c12:mixed:decode,13,512,256,751.1,34.74,43.92,9501.2,26.94,True,
20260920T132711Z,on-8192-c12:mixed:decode,13,512,256,721.6,34.86,44.77,9462.1,27.06,True,
20260920T132711Z,on-8192-c12:mixed:decode,13,512,256,808.8,34.35,47.16,9505.8,26.93,True,
20260920T132711Z,on-8192-c12:mixed:decode,13,512,256,807.3,34.46,43.23,9503.4,26.94,True,
20260920T132711Z,on-8192-c12:mixed:decode,13,512,256,808.7,34.22,47.43,9508.6,26.92,True,
20260920T132711Z,on-8192-c12:mixed:decode,13,512,256,738.6,34.57,47.41,9474.5,27.02,True,
20260920T132711Z,on-8192-c12:mixed:decode,13,512,256,808.6,34.6,45.05,9522.1,26.88,True,
20260920T132711Z,on-8192-c12:mixed:hog,13,8192,64,1150.7,33.73,39.96,3286.4,19.47,True,
