run_id,config,concurrency,prompt_len,gen_len,ttft_ms,itl_p50_ms,itl_p95_ms,e2e_ms,toks_per_s,ok,err
20260919T170403Z,off-16384:base:decode,4,512,256,879.4,32.68,95.66,9244.1,27.69,True,
20260919T170403Z,off-16384:base:decode,4,512,256,850.6,32.51,94.61,9239.8,27.71,True,
20260919T170403Z,off-16384:base:decode,4,512,256,778.4,32.6,95.16,9178.6,27.89,True,
20260919T170403Z,off-16384:base:decode,4,512,256,728.4,32.62,93.3,9128.8,28.04,True,
20260919T170403Z,off-16384:mixed:decode,5,512,256,734.2,32.56,93.76,9159.3,27.95,True,
20260919T170403Z,off-16384:mixed:decode,5,512,256,733.2,32.4,101.54,9173.4,27.91,True,
20260919T170403Z,off-16384:mixed:decode,5,512,256,732.8,32.74,95.05,9228.5,27.74,True,
20260919T170403Z,off-16384:mixed:decode,5,512,256,642.8,32.5,99.55,9155.2,27.96,True,
20260919T170403Z,off-16384:mixed:hog,5,8192,64,2365.3,34.25,91.35,4537.4,14.1,True,
20260919T170403Z,off-16384:base:decode,4,512,256,633.5,32.36,101.28,9053.0,28.28,True,
20260919T170403Z,off-16384:base:decode,4,512,256,783.5,31.48,97.99,9174.3,27.9,True,
20260919T170403Z,off-16384:base:decode,4,512,256,709.5,32.02,106.55,9134.0,28.03,True,
20260919T170403Z,off-16384:base:decode,4,512,256,692.4,31.94,105.31,9155.0,27.96,True,
20260919T170403Z,off-16384:mixed:decode,5,512,256,889.6,32.83,97.64,9275.8,27.6,True,
20260919T170403Z,off-16384:mixed:decode,5,512,256,783.0,32.69,97.91,9274.8,27.6,True,
20260919T170403Z,off-16384:mixed:decode,5,512,256,889.1,32.79,96.86,9275.3,27.6,True,
20260919T170403Z,off-16384:mixed:decode,5,512,256,784.5,32.75,99.7,9275.0,27.6,True,
20260919T170403Z,off-16384:mixed:hog,5,8192,64,1142.8,32.46,93.78,3206.3,19.96,True,
