run_id,config,concurrency,prompt_len,gen_len,ttft_ms,itl_p50_ms,itl_p95_ms,e2e_ms,toks_per_s,ok,err
20260919T165405Z,on-8192:base:decode,4,512,256,1184.7,32.34,60.44,10423.3,24.56,True,
20260919T165405Z,on-8192:base:decode,4,512,256,1133.7,32.62,67.17,10335.5,24.77,True,
20260919T165405Z,on-8192:base:decode,4,512,256,1083.7,32.71,69.92,10608.3,24.13,True,
20260919T165405Z,on-8192:base:decode,4,512,256,1033.7,32.45,60.57,10550.1,24.27,True,
20260919T165405Z,on-8192:mixed:decode,5,512,256,811.8,32.83,77.6,9296.2,27.54,True,
20260919T165405Z,on-8192:mixed:decode,5,512,256,683.9,32.8,67.19,9174.5,27.9,True,
20260919T165405Z,on-8192:mixed:decode,5,512,256,810.0,32.77,81.22,9295.9,27.54,True,
20260919T165405Z,on-8192:mixed:decode,5,512,256,795.3,32.95,69.69,9272.4,27.61,True,
20260919T165405Z,on-8192:mixed:hog,5,8192,64,2389.6,33.47,78.67,4491.3,14.25,True,
20260919T165405Z,on-8192:base:decode,4,512,256,629.4,32.88,49.5,9056.7,28.27,True,
20260919T165405Z,on-8192:base:decode,4,512,256,711.3,32.8,49.04,9126.0,28.05,True,
20260919T165405Z,on-8192:base:decode,4,512,256,696.5,32.89,49.0,9111.9,28.1,True,
20260919T165405Z,on-8192:base:decode,4,512,256,764.4,32.76,47.86,9151.6,27.97,True,
20260919T165405Z,on-8192:mixed:decode,5,512,256,734.0,32.77,48.31,9164.1,27.94,True,
20260919T165405Z,on-8192:mixed:decode,5,512,256,772.2,32.92,47.54,9195.9,27.84,True,
20260919T165405Z,on-8192:mixed:decode,5,512,256,719.1,33.08,46.41,9147.1,27.99,True,
20260919T165405Z,on-8192:mixed:decode,5,512,256,718.9,33.04,45.45,9146.9,27.99,True,
20260919T165405Z,on-8192:mixed:hog,5,8192,64,1167.3,33.99,46.99,3288.0,19.46,True,
