run_id,config,concurrency,prompt_len,gen_len,ttft_ms,itl_p50_ms,itl_p95_ms,e2e_ms,toks_per_s,ok,err
20260920T125307Z,bs32:pressure,32,6000,512,2005.4,41.33,59.05,38926.3,13.15,True,
20260920T125307Z,bs32:pressure,32,6000,512,3823.1,41.11,60.15,39844.2,12.85,True,
20260920T125307Z,bs32:pressure,32,6000,512,4843.4,41.3,58.53,39793.7,12.87,True,
20260920T125307Z,bs32:pressure,32,6000,512,4794.3,41.27,59.97,39744.2,12.88,True,
20260920T125307Z,bs32:pressure,32,6000,512,42430.7,41.51,56.94,74978.7,6.83,True,
20260920T125307Z,bs32:pressure,32,6000,512,51664.1,41.3,57.19,75114.0,6.82,True,
20260920T125307Z,bs32:pressure,32,6000,512,10135.3,41.24,58.13,44199.7,11.58,True,
20260920T125307Z,bs32:pressure,32,6000,512,49690.0,41.24,53.67,74960.6,6.83,True,
20260920T125307Z,bs32:pressure,32,6000,512,6352.8,41.38,57.7,40405.8,12.67,True,
20260920T125307Z,bs32:pressure,32,6000,512,53335.4,41.27,54.73,74946.5,6.83,True,
20260920T125307Z,bs32:pressure,32,6000,512,53286.5,41.3,55.45,74897.9,6.84,True,
20260920T125307Z,bs32:pressure,32,6000,512,15456.7,41.3,60.14,49524.8,10.34,True,
20260920T125307Z,bs32:pressure,32,6000,512,7991.2,41.18,57.2,42030.7,12.18,True,
20260920T125307Z,bs32:pressure,32,6000,512,47555.3,41.34,56.2,74646.3,6.86,True,
20260920T125307Z,bs32:pressure,32,6000,512,7900.9,41.17,57.64,41941.7,12.21,True,
20260920T125307Z,bs32:pressure,32,6000,512,9684.8,41.31,58.02,43748.4,11.7,True,
20260920T125307Z,bs32:pressure,32,6000,512,11562.8,41.03,60.12,45557.5,11.24,True,
20260920T125307Z,bs32:pressure,32,6000,512,11514.2,40.99,58.67,45497.2,11.25,True,
20260920T125307Z,bs32:pressure,32,6000,512,13307.2,41.23,60.4,47320.2,10.82,True,
20260920T125307Z,bs32:pressure,32,6000,512,13253.8,41.21,57.27,47253.9,10.84,True,
20260920T125307Z,bs32:pressure,32,6000,512,14991.9,41.2,59.21,49057.6,10.44,True,
20260920T125307Z,bs32:pressure,32,6000,512,16817.5,41.25,57.4,50876.1,10.06,True,
20260920T125307Z,bs32:pressure,32,6000,512,16764.9,40.94,59.03,59408.4,8.62,True,
20260920T125307Z,bs32:pressure,32,6000,512,17199.6,41.05,56.0,70033.2,7.31,True,
20260920T125307Z,bs32:pressure,32,6000,512,53130.8,41.33,52.97,74243.4,6.9,True,
20260920T125307Z,bs32:pressure,32,6000,512,48810.6,41.4,55.51,74080.7,6.91,True,
20260920T125307Z,bs32:pressure,32,6000,512,43189.9,41.42,57.18,73911.6,6.93,True,
20260920T125307Z,bs32:pressure,32,6000,512,50565.1,41.44,55.4,74016.5,6.92,True,
20260920T125307Z,bs32:pressure,32,6000,512,43105.9,41.36,55.31,73828.9,6.93,True,
20260920T125307Z,bs32:pressure,32,6000,512,44897.3,41.39,55.95,73803.2,6.94,True,
20260920T125307Z,bs32:pressure,32,6000,512,44859.4,41.28,55.69,73774.5,6.94,True,
20260920T125307Z,bs32:pressure,32,6000,512,46650.2,41.34,53.09,73738.8,6.94,True,
20260920T125307Z,bs32:pressure,32,6000,512,2106.3,40.9,55.16,34745.7,14.74,True,
20260920T125307Z,bs32:pressure,32,6000,512,3910.1,40.97,53.89,35342.2,14.49,True,
20260920T125307Z,bs32:pressure,32,6000,512,5674.3,40.86,53.47,35315.4,14.5,True,
20260920T125307Z,bs32:pressure,32,6000,512,5658.2,40.84,52.16,35298.1,14.51,True,
20260920T125307Z,bs32:pressure,32,6000,512,7437.6,40.95,54.16,36392.6,14.07,True,
20260920T125307Z,bs32:pressure,32,6000,512,7383.9,40.85,53.16,36339.8,14.09,True,
20260920T125307Z,bs32:pressure,32,6000,512,7317.1,40.86,53.87,36271.2,14.12,True,
20260920T125307Z,bs32:pressure,32,6000,512,7286.7,40.86,54.72,36241.3,14.13,True,
20260920T125307Z,bs32:pressure,32,6000,512,9113.6,40.94,53.94,38054.0,13.45,True,
20260920T125307Z,bs32:pressure,32,6000,512,9063.5,40.82,52.94,37998.3,13.47,True,
20260920T125307Z,bs32:pressure,32,6000,512,9013.6,40.82,54.26,37957.2,13.49,True,
20260920T125307Z,bs32:pressure,32,6000,512,8963.6,40.98,54.36,37907.3,13.51,True,
20260920T125307Z,bs32:pressure,32,6000,512,10771.2,40.95,53.69,39701.7,12.9,True,
20260920T125307Z,bs32:pressure,32,6000,512,10721.3,40.96,53.92,39652.3,12.91,True,
20260920T125307Z,bs32:pressure,32,6000,512,10628.2,40.84,52.56,39565.8,12.94,True,
20260920T125307Z,bs32:pressure,32,6000,512,12463.2,40.91,50.11,41380.1,12.37,True,
20260920T125307Z,bs32:pressure,32,6000,512,12428.6,40.6,69.0,55451.7,9.23,True,
20260920T125307Z,bs32:pressure,32,6000,512,13222.6,40.89,62.12,66218.5,7.73,True,
20260920T125307Z,bs32:pressure,32,6000,512,37548.4,40.96,71.78,69977.6,7.32,True,
20260920T125307Z,bs32:pressure,32,6000,512,39317.7,40.9,70.45,69961.4,7.32,True,
20260920T125307Z,bs32:pressure,32,6000,512,39269.5,40.85,65.11,69912.2,7.32,True,
20260920T125307Z,bs32:pressure,32,6000,499,41083.1,40.73,85.23,69400.5,7.19,True,
20260920T125307Z,bs32:pressure,32,6000,372,42887.2,41.06,65.95,64254.6,5.79,True,
20260920T125307Z,bs32:pressure,32,6000,512,40982.4,40.94,63.66,69804.4,7.33,True,
20260920T125307Z,bs32:pressure,32,6000,512,42774.8,40.89,64.74,69800.4,7.34,True,
20260920T125307Z,bs32:pressure,32,6000,512,44567.7,40.97,61.12,69779.4,7.34,True,
20260920T125307Z,bs32:pressure,32,6000,512,44520.6,40.57,80.45,69734.5,7.34,True,
20260920T125307Z,bs32:pressure,32,6000,512,46353.6,40.82,64.56,69731.1,7.34,True,
20260920T125307Z,bs32:pressure,32,6000,512,46289.3,40.91,70.36,69667.5,7.35,True,
20260920T125307Z,bs32:pressure,32,6000,512,48104.0,40.86,63.31,69676.6,7.35,True,
20260920T125307Z,bs32:pressure,32,6000,512,48054.1,40.82,65.03,69666.0,7.35,True,
20260920T125307Z,bs32:pressure,32,6000,512,48513.5,40.79,60.75,69618.0,7.35,True,
20260920T125307Z,bs32:pressure,32,6000,512,2086.8,40.99,62.14,38943.2,13.15,True,
20260920T125307Z,bs32:pressure,32,6000,512,3926.6,40.85,63.5,39763.9,12.88,True,
20260920T125307Z,bs32:pressure,32,6000,512,5742.5,41.01,60.7,39713.8,12.89,True,
20260920T125307Z,bs32:pressure,32,6000,512,5691.8,40.86,62.71,39663.5,12.91,True,
20260920T125307Z,bs32:pressure,32,6000,512,7544.1,40.9,63.59,40629.4,12.6,True,
20260920T125307Z,bs32:pressure,32,6000,512,7488.3,40.99,62.42,40576.3,12.62,True,
20260920T125307Z,bs32:pressure,32,6000,512,9306.0,41.03,59.78,42367.7,12.08,True,
20260920T125307Z,bs32:pressure,32,6000,512,9255.4,41.0,61.71,42321.4,12.1,True,
20260920T125307Z,bs32:pressure,32,6000,512,10917.7,40.99,61.88,44146.3,11.6,True,
20260920T125307Z,bs32:pressure,32,6000,512,10867.6,40.97,61.78,44076.8,11.62,True,
20260920T125307Z,bs32:pressure,32,6000,512,12665.2,40.83,61.44,45903.7,11.15,True,
