run_id,config,concurrency,prompt_len,gen_len,ttft_ms,itl_p50_ms,itl_p95_ms,e2e_ms,toks_per_s,ok,err
coloc,p512/g128/c1,1,512,128,322.3,8.51,23.57,1921.0,66.63,True,
coloc,p512/g128/c1,1,512,128,699.9,0.03,32.49,2029.7,63.06,True,
coloc,p512/g128/c8,8,512,128,417.7,9.25,20.72,1706.1,75.02,True,
coloc,p512/g128/c8,8,512,128,687.2,7.36,25.94,2074.3,61.71,True,
coloc,p512/g128/c8,8,512,128,629.6,8.21,26.14,2003.6,63.88,True,
coloc,p512/g128/c8,8,512,128,627.1,7.58,37.93,2014.2,63.55,True,
coloc,p512/g128/c8,8,512,128,624.3,0.75,30.91,2013.3,63.58,True,
coloc,p512/g128/c8,8,512,128,681.7,3.85,22.15,1993.5,64.21,True,
coloc,p512/g128/c8,8,512,128,646.0,7.74,23.0,2004.6,63.85,True,
coloc,p512/g128/c8,8,512,128,728.7,6.4,27.79,2170.3,58.98,True,
coloc,p512/g128/c8,8,512,128,598.7,7.15,27.44,1972.5,64.89,True,
coloc,p512/g128/c8,8,512,128,705.4,5.07,27.49,1985.9,64.46,True,
coloc,p512/g128/c8,8,512,128,656.3,7.18,22.54,1985.2,64.48,True,
coloc,p512/g128/c8,8,512,128,718.9,4.65,25.96,2179.0,58.74,True,
coloc,p512/g128/c8,8,512,128,654.7,6.76,28.83,2129.1,60.12,True,
coloc,p512/g128/c8,8,512,128,637.8,4.94,21.34,2080.2,61.53,True,
coloc,p512/g128/c8,8,512,128,640.2,6.84,20.96,2029.6,63.07,True,
coloc,p512/g128/c8,8,512,128,730.0,6.09,32.59,2272.5,56.32,True,
coloc,p512/g128/c32,32,512,128,323.0,10.42,27.19,1759.8,72.74,True,
coloc,p512/g128/c32,32,512,128,674.5,7.3,32.94,2202.0,58.13,True,
coloc,p512/g128/c32,32,512,128,669.9,8.68,27.95,2199.2,58.2,True,
coloc,p512/g128/c32,32,512,128,655.3,6.63,29.39,2192.6,58.38,True,
coloc,p512/g128/c32,32,512,128,623.4,7.74,31.47,2175.8,58.83,True,
coloc,p512/g128/c32,32,512,128,656.3,8.48,31.19,2230.3,57.39,True,
coloc,p512/g128/c32,32,512,128,668.2,9.48,29.66,2248.2,56.93,True,
coloc,p512/g128/c32,32,512,128,658.5,9.1,28.56,2229.8,57.41,True,
coloc,p512/g128/c32,32,512,128,692.6,9.74,29.07,2279.3,56.16,True,
coloc,p512/g128/c32,32,512,128,640.5,9.28,29.66,2224.2,57.55,True,
coloc,p512/g128/c32,32,512,128,641.4,10.76,31.53,2243.0,57.07,True,
coloc,p512/g128/c32,32,512,128,667.6,9.57,29.43,2272.5,56.33,True,
coloc,p512/g128/c32,32,512,128,625.1,11.1,30.12,2241.4,57.11,True,
coloc,p512/g128/c32,32,512,128,671.5,10.3,27.75,2276.1,56.24,True,
coloc,p512/g128/c32,32,512,128,623.3,10.73,28.97,2249.0,56.91,True,
coloc,p512/g128/c32,32,512,128,577.3,11.18,29.48,2199.3,58.2,True,
coloc,p512/g128/c32,32,512,128,650.8,10.71,30.12,2260.3,56.63,True,
coloc,p512/g128/c32,32,512,128,573.0,11.75,28.39,2195.4,58.3,True,
coloc,p512/g128/c32,32,512,128,696.9,10.24,29.91,2289.3,55.91,True,
coloc,p512/g128/c32,32,512,128,663.1,11.14,29.06,2284.1,56.04,True,
coloc,p512/g128/c32,32,512,128,648.0,10.1,27.44,2240.6,57.13,True,
coloc,p512/g128/c32,32,512,128,639.7,10.74,27.11,2235.7,57.25,True,
coloc,p512/g128/c32,32,512,128,665.4,10.8,29.01,2248.9,56.92,True,
coloc,p512/g128/c32,32,512,128,661.7,10.65,27.35,2239.6,57.15,True,
coloc,p512/g128/c32,32,512,128,688.5,10.32,26.92,2269.8,56.39,True,
coloc,p512/g128/c32,32,512,128,681.9,11.2,25.62,2232.0,57.35,True,
coloc,p512/g128/c32,32,512,128,647.0,11.08,24.55,2206.5,58.01,True,
coloc,p512/g128/c32,32,512,128,632.2,10.44,28.81,2177.3,58.79,True,
coloc,p512/g128/c32,32,512,128,637.7,10.53,28.85,2174.0,58.88,True,
coloc,p512/g128/c32,32,512,128,628.8,10.51,24.86,2149.8,59.54,True,
coloc,p512/g128/c32,32,512,128,652.3,10.42,24.52,2173.3,58.9,True,
coloc,p512/g128/c32,32,512,128,664.6,9.82,27.12,2172.3,58.92,True,
coloc,p512/g128/c32,32,512,128,720.9,7.12,28.94,2118.9,60.41,True,
coloc,p512/g128/c32,32,512,128,618.7,9.14,23.7,2122.9,60.29,True,
coloc,p512/g128/c32,32,512,128,665.8,9.99,24.04,2181.7,58.67,True,
coloc,p512/g128/c32,32,512,128,652.6,10.18,23.81,2188.5,58.49,True,
coloc,p512/g128/c32,32,512,128,650.7,11.49,21.32,2192.7,58.38,True,
coloc,p512/g128/c32,32,512,128,647.2,10.09,28.68,2214.8,57.79,True,
coloc,p512/g128/c32,32,512,128,613.2,11.55,22.27,2184.6,58.59,True,
coloc,p512/g128/c32,32,512,128,666.3,11.44,25.72,2244.4,57.03,True,
coloc,p512/g128/c32,32,512,128,690.6,11.24,24.36,2296.6,55.74,True,
