run_id,config,concurrency,prompt_len,gen_len,ttft_ms,itl_p50_ms,itl_p95_ms,e2e_ms,toks_per_s,ok,err
B,p512/g128/c1,1,512,128,323.2,10.02,22.27,1644.0,77.86,True,
B,p512/g128/c1,1,512,128,650.9,0.09,38.78,2019.0,63.4,True,
B,p512/g128/c8,8,512,128,335.7,9.72,28.46,1690.8,75.7,True,
B,p512/g128/c8,8,512,128,678.0,4.91,30.22,2051.6,62.39,True,
B,p512/g128/c8,8,512,128,618.3,6.9,30.2,1995.4,64.15,True,
B,p512/g128/c8,8,512,128,659.6,6.32,32.9,2032.1,62.99,True,
B,p512/g128/c8,8,512,128,652.2,4.9,29.32,2004.0,63.87,True,
B,p512/g128/c8,8,512,128,641.5,7.54,28.14,2032.0,62.99,True,
B,p512/g128/c8,8,512,128,660.7,6.44,24.91,2041.3,62.7,True,
B,p512/g128/c8,8,512,128,642.1,7.59,27.38,2013.2,63.58,True,
B,p512/g128/c8,8,512,128,3623.5,7.15,24.25,4965.1,25.78,True,
B,p512/g128/c8,8,512,128,631.4,5.82,32.13,2004.7,63.85,True,
B,p512/g128/c8,8,512,128,613.7,7.16,33.75,1986.2,64.45,True,
B,p512/g128/c8,8,512,128,676.1,6.92,28.69,2049.5,62.45,True,
B,p512/g128/c8,8,512,128,698.9,3.7,31.36,2062.8,62.05,True,
B,p512/g128/c8,8,512,128,646.1,5.87,28.12,2011.1,63.65,True,
B,p512/g128/c8,8,512,128,651.2,5.75,28.64,2029.6,63.07,True,
B,p512/g128/c8,8,512,128,647.9,4.9,29.09,2013.0,63.59,True,
B,p512/g128/c32,32,512,128,307.2,10.8,29.19,1743.9,73.4,True,
B,p512/g128/c32,32,512,128,652.7,7.76,27.71,2183.5,58.62,True,
B,p512/g128/c32,32,512,128,689.4,9.48,29.37,2232.2,57.34,True,
B,p512/g128/c32,32,512,128,669.7,7.71,31.02,2202.4,58.12,True,
B,p512/g128/c32,32,512,128,689.7,8.92,29.94,2237.2,57.21,True,
B,p512/g128/c32,32,512,128,589.3,9.69,28.98,2143.0,59.73,True,
B,p512/g128/c32,32,512,128,652.1,9.51,32.04,2215.7,57.77,True,
B,p512/g128/c32,32,512,128,639.1,8.95,32.47,2200.6,58.17,True,
B,p512/g128/c32,32,512,128,589.1,10.81,29.21,2179.2,58.74,True,
B,p512/g128/c32,32,512,128,663.1,10.19,26.13,2269.0,56.41,True,
B,p512/g128/c32,32,512,128,666.2,10.71,27.48,2267.1,56.46,True,
B,p512/g128/c32,32,512,128,647.7,11.83,28.24,2234.7,57.28,True,
B,p512/g128/c32,32,512,128,678.8,10.12,27.75,2296.4,55.74,True,
B,p512/g128/c32,32,512,128,720.0,10.56,29.11,2312.2,55.36,True,
B,p512/g128/c32,32,512,128,669.6,11.02,27.5,2257.5,56.7,True,
B,p512/g128/c32,32,512,128,701.3,11.03,26.99,2320.3,55.17,True,
B,p512/g128/c32,32,512,128,663.9,11.31,27.88,2282.9,56.07,True,
B,p512/g128/c32,32,512,128,633.2,11.72,30.96,2256.7,56.72,True,
B,p512/g128/c32,32,512,128,634.7,10.8,28.04,2239.5,57.16,True,
B,p512/g128/c32,32,512,128,663.2,11.41,28.0,2264.1,56.53,True,
B,p512/g128/c32,32,512,128,662.1,11.21,27.28,2265.8,56.49,True,
B,p512/g128/c32,32,512,128,668.8,11.15,30.38,2268.8,56.42,True,
B,p512/g128/c32,32,512,128,701.6,10.67,27.31,2303.2,55.57,True,
B,p512/g128/c32,32,512,128,662.3,11.23,26.72,2253.4,56.8,True,
B,p512/g128/c32,32,512,128,660.5,11.65,25.35,2242.1,57.09,True,
B,p512/g128/c32,32,512,128,666.6,9.76,25.63,2237.7,57.2,True,
B,p512/g128/c32,32,512,128,677.3,11.21,27.16,2240.7,57.12,True,
B,p512/g128/c32,32,512,128,656.7,11.21,27.06,2219.4,57.67,True,
B,p512/g128/c32,32,512,128,686.7,10.31,30.12,2225.7,57.51,True,
B,p512/g128/c32,32,512,128,666.9,10.98,24.75,2188.8,58.48,True,
B,p512/g128/c32,32,512,128,616.7,10.23,28.99,2138.7,59.85,True,
B,p512/g128/c32,32,512,128,657.2,9.85,27.37,2166.0,59.09,True,
B,p512/g128/c32,32,512,128,666.6,8.26,26.58,2100.5,60.94,True,
B,p512/g128/c32,32,512,128,653.7,4.32,31.56,2171.0,58.96,True,
B,p512/g128/c32,32,512,128,636.3,5.71,32.54,2150.0,59.54,True,
B,p512/g128/c32,32,512,128,685.6,6.72,32.13,2210.4,57.91,True,
B,p512/g128/c32,32,512,128,672.5,5.84,31.25,2213.9,57.82,True,
B,p512/g128/c32,32,512,128,753.6,5.0,32.78,2329.4,54.95,True,
B,p512/g128/c32,32,512,128,693.5,5.77,33.08,2270.6,56.37,True,
B,p512/g128/c32,32,512,128,643.4,7.63,33.09,2220.3,57.65,True,
B,p512/g128/c32,32,512,128,639.8,7.24,32.25,2206.0,58.02,True,
B,p512/g128/c32,32,512,128,664.8,8.55,29.48,2257.7,56.69,True,
B,p512/g128/c32,32,512,128,676.7,8.39,28.51,2256.2,56.73,True,
B,p512/g128/c32,32,512,128,604.9,10.79,31.35,2206.0,58.02,True,
B,p512/g128/c32,32,512,128,696.8,8.77,29.13,2290.6,55.88,True,
B,p512/g128/c32,32,512,128,650.6,8.22,31.24,2243.0,57.07,True,
B,p512/g128/c32,32,512,128,654.4,9.37,28.71,2252.3,56.83,True,
B,p512/g128/c32,32,512,128,686.9,10.5,27.98,2297.6,55.71,True,
B,p512/g128/c32,32,512,128,671.5,9.41,28.89,2281.6,56.1,True,
B,p512/g128/c32,32,512,128,709.5,10.61,26.42,2326.9,55.01,True,
B,p512/g128/c32,32,512,128,650.0,9.79,31.74,2260.6,56.62,True,
B,p512/g128/c32,32,512,128,697.9,9.4,28.15,2306.3,55.5,True,
