run_id,config,concurrency,prompt_len,gen_len,ttft_ms,itl_p50_ms,itl_p95_ms,e2e_ms,toks_per_s,ok,err
C,p512/g128/c1,1,512,128,604.7,70.89,79.58,2082.9,61.45,True,
C,p512/g128/c1,1,512,128,781.3,70.17,94.88,2267.2,56.46,True,
C,p512/g128/c8,8,512,128,447.7,75.81,691.74,3432.4,37.29,True,
C,p512/g128/c8,8,512,128,2161.8,74.61,87.15,3801.4,33.67,True,
C,p512/g128/c8,8,512,128,2222.4,75.16,82.21,3782.5,33.84,True,
C,p512/g128/c8,8,512,128,2170.9,75.03,86.6,3732.4,34.29,True,
C,p512/g128/c8,8,512,128,2115.5,73.03,86.54,3670.5,34.87,True,
C,p512/g128/c8,8,512,128,2072.4,74.02,87.88,3632.3,35.24,True,
C,p512/g128/c8,8,512,128,2022.9,73.98,87.89,3582.8,35.73,True,
C,p512/g128/c8,8,512,128,1970.6,74.18,86.74,3532.1,36.24,True,
C,p512/g128/c8,8,512,128,756.2,77.46,86.68,2400.6,53.32,True,
C,p512/g128/c8,8,512,128,775.1,77.45,88.25,2438.5,52.49,True,
C,p512/g128/c8,8,512,128,696.1,75.49,94.86,2387.5,53.61,True,
C,p512/g128/c8,8,512,128,827.1,74.79,86.01,2468.7,51.85,True,
C,p512/g128/c8,8,512,128,750.9,76.17,94.99,2406.2,53.2,True,
C,p512/g128/c8,8,512,128,794.0,76.69,86.66,2444.5,52.36,True,
C,p512/g128/c8,8,512,128,829.3,74.27,86.38,2399.7,53.34,True,
C,p512/g128/c8,8,512,128,778.8,73.84,88.18,2349.2,54.49,True,
C,p512/g128/c32,32,512,128,455.0,90.69,136.84,2573.2,49.74,True,
C,p512/g128/c32,32,512,128,830.7,112.03,137.13,3251.8,39.36,True,
C,p512/g128/c32,32,512,128,780.8,112.72,135.4,3204.1,39.95,True,
C,p512/g128/c32,32,512,128,815.3,112.09,135.28,3259.7,39.27,True,
C,p512/g128/c32,32,512,128,765.4,111.4,135.53,3212.8,39.84,True,
C,p512/g128/c32,32,512,128,799.3,112.57,135.54,3277.1,39.06,True,
C,p512/g128/c32,32,512,128,812.7,113.41,135.31,3328.9,38.45,True,
C,p512/g128/c32,32,512,128,867.1,117.54,139.91,3405.5,37.59,True,
C,p512/g128/c32,32,512,128,779.6,115.25,134.45,3306.0,38.72,True,
C,p512/g128/c32,32,512,128,839.4,111.83,135.44,3387.7,37.78,True,
C,p512/g128/c32,32,512,128,789.4,113.13,129.83,3339.4,38.33,True,
C,p512/g128/c32,32,512,128,847.0,112.95,135.33,3386.3,37.8,True,
C,p512/g128/c32,32,512,128,971.5,111.54,133.27,3416.8,37.46,True,
C,p512/g128/c32,32,512,128,921.4,111.12,128.14,3366.9,38.02,True,
C,p512/g128/c32,32,512,128,856.9,112.6,128.23,3287.1,38.94,True,
C,p512/g128/c32,32,512,128,917.7,111.78,126.17,3344.7,38.27,True,
C,p512/g128/c32,32,512,128,978.0,111.75,126.13,3392.9,37.73,True,
C,p512/g128/c32,32,512,128,897.7,112.28,127.48,3324.3,38.5,True,
C,p512/g128/c32,32,512,128,878.3,111.66,126.17,3292.9,38.87,True,
C,p512/g128/c32,32,512,128,929.3,111.79,126.18,3304.3,38.74,True,
C,p512/g128/c32,32,512,128,879.4,111.77,126.12,3254.5,39.33,True,
C,p512/g128/c32,32,512,128,829.8,111.79,126.14,3204.7,39.94,True,
C,p512/g128/c32,32,512,128,894.0,110.86,126.07,3232.3,39.6,True,
C,p512/g128/c32,32,512,128,960.3,106.16,127.39,3278.0,39.05,True,
C,p512/g128/c32,32,512,128,909.9,109.72,129.46,3227.6,39.66,True,
C,p512/g128/c32,32,512,128,859.8,108.88,130.94,3172.4,40.35,True,
C,p512/g128/c32,32,512,128,923.9,109.47,129.71,3180.2,40.25,True,
C,p512/g128/c32,32,512,128,863.0,108.27,126.13,3128.2,40.92,True,
C,p512/g128/c32,32,512,128,927.2,105.72,134.74,3150.6,40.63,True,
C,p512/g128/c32,32,512,128,898.6,106.3,124.5,3100.0,41.29,True,
C,p512/g128/c32,32,512,128,962.4,104.25,124.54,3050.0,41.97,True,
C,p512/g128/c32,32,512,128,912.4,104.18,124.35,2999.9,42.67,True,
C,p512/g128/c32,32,512,128,779.8,101.4,129.82,2957.0,43.29,True,
C,p512/g128/c32,32,512,128,790.3,103.62,130.08,3032.7,42.21,True,
C,p512/g128/c32,32,512,128,816.4,103.13,130.14,3080.0,41.56,True,
C,p512/g128/c32,32,512,128,788.1,103.2,126.72,3034.5,42.18,True,
C,p512/g128/c32,32,512,128,789.5,103.67,129.97,3080.6,41.55,True,
C,p512/g128/c32,32,512,128,736.8,106.25,128.66,3030.3,42.24,True,
C,p512/g128/c32,32,512,128,862.1,108.63,126.65,3206.6,39.92,True,
C,p512/g128/c32,32,512,128,884.4,109.09,130.09,3253.7,39.34,True,
C,p512/g128/c32,32,512,128,832.6,109.04,130.4,3201.6,39.98,True,
C,p512/g128/c32,32,512,128,783.6,109.09,130.04,3153.0,40.6,True,
C,p512/g128/c32,32,512,128,811.9,109.05,131.06,3201.9,39.98,True,
C,p512/g128/c32,32,512,128,873.4,111.0,126.54,3255.8,39.31,True,
C,p512/g128/c32,32,512,128,901.0,111.25,128.53,3284.9,38.97,True,
C,p512/g128/c32,32,512,128,727.7,111.58,129.33,3132.2,40.87,True,
C,p512/g128/c32,32,512,128,801.2,110.71,130.09,3176.9,40.29,True,
C,p512/g128/c32,32,512,128,832.3,110.78,130.12,3209.2,39.89,True,
C,p512/g128/c32,32,512,128,866.9,110.17,130.19,3252.6,39.35,True,
C,p512/g128/c32,32,512,128,828.8,109.91,124.79,3207.2,39.91,True,
C,p512/g128/c32,32,512,128,888.1,108.69,124.81,3233.0,39.59,True,
C,p512/g128/c32,32,512,128,957.7,108.14,124.74,3265.0,39.2,True,
C,p512/g128/c32,32,512,128,885.1,106.49,130.04,3203.3,39.96,True,
C,p512/g128/c32,32,512,128,812.7,108.7,127.75,3124.4,40.97,True,
C,p512/g128/c32,32,512,128,896.8,106.08,130.1,3190.1,40.12,True,
C,p512/g128/c32,32,512,128,951.1,102.23,130.08,3207.5,39.91,True,
C,p512/g128/c32,32,512,128,900.6,102.77,130.16,3157.0,40.54,True,
C,p512/g128/c32,32,512,128,844.9,101.74,128.96,3098.2,41.31,True,
C,p512/g128/c32,32,512,128,929.1,101.06,130.1,3137.8,40.79,True,
C,p512/g128/c32,32,512,128,999.1,98.77,126.29,3160.0,40.51,True,
C,p512/g128/c32,32,512,128,950.5,98.89,126.45,3111.0,41.14,True,
C,p512/g128/c32,32,512,128,901.0,98.92,126.38,3060.8,41.82,True,
C,p512/g128/c32,32,512,128,962.4,96.48,126.73,3009.9,42.53,True,
C,p512/g128/c32,32,512,128,925.1,100.27,122.66,2960.8,43.23,True,
C,p2048/g128/c1,1,2048,128,563.5,70.59,81.38,2120.0,60.38,True,
C,p2048/g128/c1,1,2048,128,789.6,0.01,495.53,2541.6,50.36,True,
C,p2048/g128/c8,8,2048,128,462.2,80.58,173.72,2276.7,56.22,True,
C,p2048/g128/c8,8,2048,128,772.2,80.01,147.74,2590.3,49.41,True,
C,p2048/g128/c8,8,2048,128,3749.2,71.71,157.83,6370.6,20.09,True,
C,p2048/g128/c8,8,2048,128,927.7,78.85,148.64,2663.9,48.05,True,
C,p2048/g128/c8,8,2048,128,870.6,79.93,155.3,2610.3,49.04,True,
C,p2048/g128/c8,8,2048,128,976.6,79.01,139.22,2634.8,48.58,True,
C,p2048/g128/c8,8,2048,128,926.8,76.88,120.58,2651.5,48.27,True,
C,p2048/g128/c8,8,2048,128,886.3,79.0,139.18,2618.6,48.88,True,
C,p2048/g128/c8,8,2048,128,762.8,72.65,168.78,2488.7,51.43,True,
C,p2048/g128/c8,8,2048,128,839.0,79.6,151.94,2601.3,49.21,True,
C,p2048/g128/c8,8,2048,128,787.7,79.5,156.73,2551.4,50.17,True,
C,p2048/g128/c8,8,2048,128,914.0,79.69,144.49,2708.1,47.27,True,
C,p2048/g128/c8,8,2048,128,848.2,78.03,162.65,2657.8,48.16,True,
C,p2048/g128/c8,8,2048,128,800.4,79.41,156.77,2608.1,49.08,True,
C,p2048/g128/c8,8,2048,128,826.8,76.58,162.73,2571.6,49.77,True,
C,p2048/g128/c8,8,2048,128,776.6,75.31,167.64,2520.8,50.78,True,
C,p2048/g128/c32,32,2048,128,469.1,96.9,156.78,2697.9,47.44,True,
C,p2048/g128/c32,32,2048,128,939.3,129.12,169.37,3635.4,35.21,True,
C,p2048/g128/c32,32,2048,128,909.3,121.96,183.9,3594.9,35.61,True,
C,p2048/g128/c32,32,2048,128,831.7,124.76,189.24,3511.3,36.45,True,
C,p2048/g128/c32,32,2048,128,890.7,123.27,173.25,3613.9,35.42,True,
C,p2048/g128/c32,32,2048,128,834.0,130.32,169.52,3556.6,35.99,True,
C,p2048/g128/c32,32,2048,128,857.7,131.28,169.44,3622.4,35.34,True,
C,p2048/g128/c32,32,2048,128,799.7,125.39,189.26,3557.9,35.98,True,
C,p2048/g128/c32,32,2048,128,926.5,133.26,194.6,3752.0,34.12,True,
C,p2048/g128/c32,32,2048,128,787.2,133.28,194.52,3678.1,34.8,True,
C,p2048/g128/c32,32,2048,128,820.9,130.91,209.81,3647.8,35.09,True,
C,p2048/g128/c32,32,2048,128,961.3,130.12,190.88,3740.9,34.22,True,
C,p2048/g128/c32,32,2048,128,943.9,128.65,174.74,3803.5,33.65,True,
C,p2048/g128/c32,32,2048,128,879.2,130.34,191.26,3753.5,34.1,True,
C,p2048/g128/c32,32,2048,128,954.1,127.73,174.37,3808.6,33.61,True,
C,p2048/g128/c32,32,2048,128,868.8,128.04,209.02,3724.9,34.36,True,
C,p2048/g128/c32,32,2048,128,949.4,134.33,191.14,3848.8,33.26,True,
C,p2048/g128/c32,32,2048,128,915.8,136.75,185.07,3799.3,33.69,True,
C,p2048/g128/c32,32,2048,128,974.6,135.68,193.0,3781.5,33.85,True,
C,p2048/g128/c32,32,2048,128,925.5,134.32,191.14,3731.5,34.3,True,
C,p2048/g128/c32,32,2048,128,875.7,134.39,191.13,3681.7,34.77,True,
C,p2048/g128/c32,32,2048,128,968.9,130.32,192.99,3717.5,34.43,True,
C,p2048/g128/c32,32,2048,128,1033.6,130.36,191.09,3764.1,34.01,True,
C,p2048/g128/c32,32,2048,128,984.0,130.02,191.0,3714.5,34.46,True,
C,p2048/g128/c32,32,2048,128,946.4,125.78,174.42,3674.4,34.84,True,
C,p2048/g128/c32,32,2048,128,1012.5,128.24,174.46,3701.5,34.58,True,
C,p2048/g128/c32,32,2048,128,935.8,128.01,209.04,3617.5,35.38,True,
C,p2048/g128/c32,32,2048,128,901.4,130.38,191.07,3583.7,35.72,True,
C,p2048/g128/c32,32,2048,128,1152.1,124.68,190.83,3764.1,34.01,True,
C,p2048/g128/c32,32,2048,128,1107.5,120.42,174.43,3714.2,34.46,True,
C,p2048/g128/c32,32,2048,128,1057.5,116.35,174.47,3664.1,34.93,True,
C,p2048/g128/c32,32,2048,128,1002.1,121.15,192.8,3614.3,35.42,True,
C,p2048/g128/c32,32,2048,128,787.5,124.14,187.11,3393.0,37.72,True,
C,p2048/g128/c32,32,2048,128,816.9,124.18,184.09,3443.5,37.17,True,
C,p2048/g128/c32,32,2048,128,757.8,111.13,164.65,3368.3,38.0,True,
